OBJECTID,Shape,imperdible,cod_comuna,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,direccion,sitio_web,nombre_comuna,cod_barrio,barrio,x_origen_nacional,y_origen_nacional,latitud,longitud
34,"(4716438.055400001, 2251592.9322000016)",SI,04,AT034,Jardín Botánico Joaquín Antonio Uribe,Jardín botánico,99,CL 73 No. 51 D 14,https://www.medellin.travel/jardin-botanico/,Aranjuez,Inst_10,Jardín Botánico,4716438.0554,2251592.9322,6.27069092,-75.5637207
35,"(4715989.025600002, 2252324.2544)",NO,04,AT035,Jardín Morro de Moravia,Sector urbano o rural de interés,22,CR 62 con CL 58b,https://www.medellin.travel/moravia/,Aranjuez,0405,Moravia,4715989.0256,2252324.2544,6.27728272,-75.56781006
36,"(4715460.9586000005, 2243786.620400002)",NO,14,AT036,Milla de Oro,Avenida y calle,11,CR 43A,https://milladeoromedellin.com/,El Poblado,1416,Alejandría,4715460.9586,2243786.6204,6.20007324,-75.57220459
37,"(4713855.9462, 2245786.0442000013)",NO,15,AT037,Monumento a Carlos Gardel,Monumento,46, CR 65 A No. 13-157, ,Guayabal,Inst_19,Parque Juan Pablo II,4713855.9462,2245786.0442,6.21807861,-75.58679199
38,"(4715342.9216, 2248681.7898999993)",NO,10,AT038,Monumento a la Raza,Monumento,62,CL 44 No. 52 - 165,https://www.medellin.travel/alpujarra-y-monumento-a-la-raza/,La Candelaria,Inst_17,Centro Administrativo,4715342.9216,2248681.7899,6.24432373,-75.57348633
39,"(4714740.439600001, 2249812.189500002)",NO,11,AT039,Monumento a La Vida,Monumento,52,CL 49 No 49-30, ,Laureles Estadio,1102,Suramericana,4714740.4396,2249812.1895,6.2545166,-75.57897949
40,"(4714740.307, 2249785.1853)",NO,11,AT040,Monumento a la Vida,Escultura,9,CL 50 con CR 64B, ,Laureles Estadio,1102,Suramericana,4714740.307,2249785.1853,6.25427246,-75.57897949
41,"(4713855.9462, 2245786.0442000013)",NO,15,AT041,Monumento al Tango,Monumento,26, CR 65 A No. 13-157, ,Guayabal,Inst_19,Parque Juan Pablo II,4713855.9462,2245786.0442,6.21807861,-75.58679199
42,"(4710506.4299, 2248833.9121000003)",NO,13,AT042,Monumento El Pájaro,Monumento,32,CL 44 No 50, ,San Javier,1311,Belencito,4710506.4299,2248833.9121,6.2454834,-75.6171875
43,"(4710506.4299, 2248833.9121000003)",NO,13,AT043,Monumento Paloma de la Paz,Monumento,24,CL 44 No 50, ,San Javier,1311,Belencito,4710506.4299,2248833.9121,6.2454834,-75.6171875
44,"(4715819.3769000005, 2249408.5867999997)",NO,10,AT044,Museo al Aire Libre Acueducto del Siglo XIX,Sector urbano o rural de interés,7,CL 51 con CR 52 y 55, ,La Candelaria,1019,La Candelaria,4715819.3769,2249408.5868,6.25091553,-75.56921387
45,"(4717215.0779, 2248848.195600001)",SI,10,AT045,Museo Casa de la Memoria,Museo,97,CL 51 No. 36-66,https://www.medellin.travel/casa-museo-pedro-nel-gomez/,La Candelaria,1016,Boston,4717215.0779,2248848.1956,6.24591064,-75.55657959
46,"(4717437.1729000015, 2251453.032900002)",NO,03,AT046,Museo Casa Gardeliana,Museo,66,CR 45 No. 76 -50,https://www.medellin.travel/casa-museo-gardeliana/,Manrique,0303,Campo Valdés No.2,4717437.1729,2251453.0329,6.26947021,-75.5546875
47,"(4716692.0514, 2251038.099100003)",SI,04,AT047,Museo Cementerio San Pedro,Museo,70,CR 51 No. 68 - 68,https://cementeriosanpedro.org.co/,Aranjuez,0408,San Pedro,4716692.0514,2251038.0991,6.26568603,-75.56140137
48,"(4715853.9133, 2249563.694599999)",SI,10,AT048,Museo de Antioquia,Museo,91,CR 52 No. 52 - 43,https://www.medellin.travel/museo-de-antioquia/,La Candelaria,1019,La Candelaria,4715853.9133,2249563.6946,6.25231934,-75.56890869
49,"(4715264.126700001, 2246380.024500001)",SI,14,AT049,Museo de Arte Moderno de Medellín,Museo,96, CR 44 No.19 A - 100,https://www.elmamm.org/,El Poblado,1403,Villa Carlota,4715264.1267,2246380.0245,6.22351074,-75.57409668
50,"(4715052.8578, 2248770.9740000013)",NO,10,AT050,Museo del Agua,Museo,52,CR 57 No. 42-139,https://www.grupo-epm.com/site/museodelagua/,La Candelaria,Inst_16,La Alpujarra,4715052.8578,2248770.974,6.24511719,-75.57611084
51,"(4715766.415300001, 2242684.703400001)",SI,14,AT051,Museo El Castillo,Museo,78,CL 9 Sur No. 32 - 269,https://www.museoelcastillo.org/,El Poblado,1414,El Castillo,4715766.4153,2242684.7034,6.19012451,-75.56939697
52,"(4710526.831800001, 2248860.816299999)",NO,13,AT052,Museo Etnográfico Madre Laura,Museo,64,CR 92 No. 34D - 21,https://patrimoniomedellin.gov.co/proyectos/mdm/museos-de-medellin/museo-madre-laura/,San Javier,1311,Belencito,4710526.8318,2248860.8163,6.24572754,-75.61700439
53,"(4716492.7589, 2248959.7269)",NO,10,AT053,Palacio de Bellas Artes,Centro de formación cultural,56,CR 42 No. 52-08, ,La Candelaria,1019,La Candelaria,4716492.7589,2248959.7269,6.24688721,-75.56311035
54,"(4715921.039900001, 2249475.6018000003)",NO,10,AT054,Palacio de la Cultura Rafael Uribe Uribe,Otro,88,CR 51 No. 52-03,https://patrimoniomedellin.gov.co/proyectos/mdm/museos-de-medellin/palacio-de-la-cultura/,La Candelaria,1019,La Candelaria,4715921.0399,2249475.6018,6.25152588,-75.56829834
55,"(4715000.263600001, 2242134.8193000015)",NO,14,AT055,Parque Ambiental Bosques de La Frontera,Parque urbano,36,CR 43 A con CL 18 sur, ,El Poblado,1413,El Diamante No.2,4715000.2636,2242134.8193,6.18511963,-75.57629395
56,"(4718619.379100001, 2254235.4591999985)",NO,01,AT056,Parque Biblioteca España,Biblioteca,82,CR 33B No. 107A - 101, ,Popular,0101,Santo Domingo Savio No.1,4718619.3791,2254235.4592,6.29467773,-75.54412842
57,"(4715974.1941, 2249293.0613)",NO,10,AT057,Parque de Berrío,Parque urbano,58,CL 50 con CR 50, ,La Candelaria,1019,La Candelaria,4715974.1941,2249293.0613,6.24987793,-75.56781006
58,"(4716333.983000001, 2249649.115600003)",NO,10,AT058,Parque de Bolívar,Parque urbano,60,CL 54 con la CR 48, ,La Candelaria,1018,Villa Nueva,4716333.983,2249649.1156,6.25311279,-75.5645752
59,"(4715588.0754, 2244920.1972000003)",NO,14,AT059,Parque de El Poblado,Parque urbano,22,CL 10 con CR 43A, ,El Poblado,1420,Astorga,4715588.0754,2244920.1972,6.21032715,-75.57110596
60,"(4716186.921099999, 2251351.1198999994)",NO,04,AT060,Parque de los Deseos,Parque urbano,76,CL 73 con CR 52,https://www.medellin.travel/parque-de-los-deseos-y-casa-de-la-musica/,Aranjuez,0407,Sevilla,4716186.9211,2251351.1199,6.26849365,-75.565979
61,"(4714944.5359, 2248724.2459999993)",NO,10,AT061,Parque de los Pies Descalzos,Parque urbano,86,CR 58 No. 42-125,https://www.medellin.travel/parque-de-los-pies-descalzos/,La Candelaria,Inst_16,La Alpujarra,4714944.5359,2248724.246,6.24468994,-75.5770874
62,"(4716228.3118, 2251526.447100004)",SI,04,AT062,Parque Explora,Parque temático y recreativo,95,CR 52 No. 73-75,https://www.medellin.travel/parque-explora/?lang=en,Aranjuez,Inst_9,Parque Norte,4716228.3118,2251526.4471,6.27008057,-75.56561279
63,"(4715674.5933, 2244649.7310000025)",NO,14,AT063,Parque Lineal La Presidenta,Parque urbano,28,CR 43 A con CL 7 D, ,El Poblado,1417,La Florida,4715674.5933,2244649.731,6.20788574,-75.5703125
64,"(4715952.2481, 2244783.4065000024)",NO,14,AT064,Parque Lleras,Parque urbano,80,CL 10 con carrerra 40,https://www.medellin.travel/parque-lleras/,El Poblado,1418,El Poblado,4715952.2481,2244783.4065,6.20910644,-75.56781006
65,"(4714322.8779, 2251448.037200002)",NO,07,AT065,Parque Natural Metropolitano Cerro El Volador,Cerro,54,CR 65 No. 67 - 51,https://www.medellin.travel/parque-natural-cerro-el-volador/,Robledo,Inst_7,Ecoparque Cerro El Volador,4714322.8779,2251448.0372,6.26928711,-75.58282471
66,"(4714629.3439, 2247821.128200002)",NO,16,AT066,Parque Natural Metropolitano Cerro Nutibara,Cerro,74,CL 30 A No. 55 - 64,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-nutibara/,Belén,Inst_18,Cerro Nutibara,4714629.3439,2247821.1282,6.23651123,-75.57989502
67,"(4715946.0121, 2251818.128799999)",NO,04,AT067,Parque Norte J. Emilio Valderrama,Parque temático y recreativo,42,CR 53 No. 76-115,https://parquenorte.gov.co/,Aranjuez,Inst_9,Parque Norte,4715946.0121,2251818.1288,6.27270508,-75.56817627
68,"(4722304.7231, 2253643.799900001)",SI,90,AT068,Parque Regional Ecoturístico Arví,Áreas con declaratorias departamentales,89, ,https://www.medellin.travel/medellin-arvi-park/?lang=en,Corregimiento de Santa Elena,9003,Piedras Blancas - Matasano,4722304.7231,2253643.7999,6.28948975,-75.51080322
69,"(4714655.993400001, 2246362.7379)",SI,15,AT069,Parque de la Conservación,Otro,16,CR 52 No. 20 - 63,https://www.parquedelaconservacion.com/,Guayabal,1504,Santa Fé,4714655.9934,2246362.7379,6.22332764,-75.57958984
70,"(4715715.537000001, 2248896.0064000003)",NO,10,AT070,Paseo Bolívar,Sector urbano o rural de interés,1,CR 51 entre CL 44 y CL 53, ,La Candelaria,1007,Guayaquil,4715715.537,2248896.0064,6.24627686,-75.57012939
71,"(4717267.286600002, 2248469.881400002)",NO,09,AT071,Paseo Peatonal Ayacucho,Sector urbano o rural de interés,2,CL 49 desde la Avenida Oriental y CR 29, ,Buenos Aires,0907,Buenos Aires,4717267.2866,2248469.8814,6.24249268,-75.55609131
72,"(4715812.819300001, 2249449.1259000003)",NO,10,AT072,Paseo Peatonal Carabobo,Sector urbano o rural de interés,4,CR 52 entre las CLs 44 y 53, ,La Candelaria,1019,La Candelaria,4715812.8193,2249449.1259,6.25128174,-75.5692749
73,"(4716231.794000002, 2249474.0846999995)",NO,10,AT073,Paseo Peatonal de Junín,Sector urbano o rural de interés,4,CR 49 con CLs 51 y 54, ,La Candelaria,1019,La Candelaria,4716231.794,2249474.0847,6.25152588,-75.56549072
74,"(4716228.0695, 2244539.029000001)",NO,14,AT074,Paseo Provenza,Avenida y calle,6,CR 35 entre las CLs 10 y 7, ,El Poblado,1417,La Florida,4716228.0695,2244539.029,6.20690918,-75.56530762
75,"(4716661.9767, 2249026.413900003)",NO,10,AT075,Pequeño Teatro,Teatro,10,CR 42 No. 50 A - 12,https://www.pequenoteatro.com/,La Candelaria,1016,Boston,4716661.9767,2249026.4139,6.24749756,-75.56158447
76,"(4716870.741800002, 2248890.375900002)",NO,10,AT076,Placita de Flórez,Plaza de mercado,8,CR 39 No. 50 - 25,https://www.medellin.gov.co/es/sala-de-prensa/noticias/cual-es-la-historia-de-la-placita-de-florez-en-medellin-y-su-relacion-con-los-silleteros/,La Candelaria,1016,Boston,4716870.7418,2248890.3759,6.24627686,-75.55969238
77,"(4716187.2514, 2251418.629800003)",SI,04,AT077,Planetario Municipal de Medellín Jesús Emilio Ramírez González,Planetario,84,CR 52 No. 71 - 117,https://www.planetariomedellin.org/quienes-somos,Aranjuez,0407,Sevilla,4716187.2514,2251418.6298,6.269104,-75.565979
78,"(4715934.979700001, 2249563.2985999994)",SI,10,AT078,Plaza Botero,Plaza,98,CR 52 con CL 52,https://www.medellin.travel/botero-square-of-medellin/?lang=en,La Candelaria,1019,La Candelaria,4715934.9797,2249563.2986,6.25231934,-75.56817627
79,"(4715472.2358, 2248876.9416000023)",NO,10,AT079,Plaza Cisneros,Plaza,68,CL 44 con CR 52,https://www.centrodemedellin.co/ArticulosView.aspx?id=120,La Candelaria,1007,Guayaquil,4715472.2358,2248876.9416,6.24609375,-75.57232666
80,"(4713855.9462, 2245786.0442000013)",NO,15,AT080,Plaza Gardel,Plaza,34,CR 65 A No. 13-157,https://gardelplaza.com/,Guayabal,Inst_19,Parque Juan Pablo II,4713855.9462,2245786.0442,6.21807861,-75.58679199
